meal_id,name,meal_type,calories,protein_g,carbs_g,fats_g,fiber_g,sodium_mg,sugar_g,prep_time_min,is_diabetic_friendly,is_heart_healthy,is_low_sodium,is_low_carb,is_high_protein,is_low_fat,is_soft_food,is_vegetarian,is_gluten_free
25,Poached Eggs Benedict (V1),breakfast,401,16.9,33.8,19.0,1.1,333,8.1,45,0,0,1,0,0,0,1,1,1
26,Muesli with Almond Milk (V1),breakfast,295,9.2,48.8,8.1,5.1,791,8.5,10,0,0,0,0,0,1,1,1,1
27,Spinach Egg Wrap (V1),breakfast,285,16.9,25.4,10.6,3.2,486,7.4,10,1,1,0,1,0,0,1,0,0
28,Chia Seed Pudding (V1),breakfast,274,9.1,34.3,11.4,9.1,319,2.9,30,1,1,1,0,0,0,1,0,0
29,Soft Boiled Eggs with Soldiers (V1),breakfast,274,14.8,23.2,12.7,2.1,152,10.8,60,1,1,1,1,0,0,1,0,0
30,Oatmeal with Berries (V2),breakfast,244,7.0,42.0,5.2,3.5,283,6.3,45,0,1,1,0,0,1,1,0,0
31,Greek Yogurt Parfait (V2),breakfast,286,17.2,34.4,9.2,2.3,610,3.6,10,1,0,0,0,0,1,1,1,0
32,Scrambled Eggs with Toast (V2),breakfast,338,19.1,29.6,14.8,2.1,759,7.9,25,0,0,0,1,0,0,1,1,0
33,Banana Smoothie (V2),breakfast,201,5.5,38.6,3.7,2.8,588,14.4,60,1,0,0,0,0,1,1,0,0
34,Whole Wheat Pancakes (V2),breakfast,357,10.5,54.7,10.5,3.2,572,5.8,45,0,0,0,0,0,0,1,0,0
35,Fruit Bowl with Granola (V2),breakfast,314,7.3,57.6,6.3,5.2,445,19.7,25,0,1,0,0,0,1,1,0,1
36,Egg White Omelette (V2),breakfast,158,17.6,7.0,5.3,1.8,751,12.0,60,1,0,0,1,0,1,1,0,0
37,Cottage Cheese with Fruit (V2),breakfast,190,13.4,21.0,4.8,1.9,307,18.1,60,1,0,1,1,0,1,1,0,0
38,Avocado Toast (V2),breakfast,342,8.8,33.2,19.9,6.6,724,4.9,40,1,0,0,0,0,0,1,0,0
39,Rice Porridge (V2),breakfast,240,4.8,43.3,3.8,1.0,572,13.9,30,0,0,0,0,0,1,1,1,0
40,Poached Eggs Benedict (V2),breakfast,378,15.9,31.9,17.9,1.0,262,13.7,10,0,0,1,0,0,0,1,1,1
41,Muesli with Almond Milk (V2),breakfast,289,9.0,47.9,8.0,5.0,603,13.7,45,0,0,0,0,0,1,1,0,0
42,Spinach Egg Wrap (V2),breakfast,273,16.2,24.3,10.1,3.0,569,6.8,40,1,0,0,1,0,0,1,0,0
43,Chia Seed Pudding (V2),breakfast,239,8.0,29.9,10.0,8.0,382,9.8,30,1,1,1,1,0,0,1,0,0
44,Soft Boiled Eggs with Soldiers (V2),breakfast,259,14.0,22.0,12.0,2.0,552,6.1,60,1,0,0,1,0,0,1,1,1
45,Oatmeal with Berries (V3),breakfast,292,8.3,50.1,6.3,4.2,116,19.9,40,0,1,1,0,0,1,1,0,0
46,Greek Yogurt Parfait (V3),breakfast,240,14.4,28.8,7.7,1.9,136,18.7,10,1,0,1,1,0,1,1,0,0
47,Scrambled Eggs with Toast (V3),breakfast,366,20.6,32.0,16.0,2.3,215,7.3,30,0,0,1,0,1,0,1,1,0
48,Banana Smoothie (V3),breakfast,219,6.0,41.8,4.0,3.0,117,12.0,45,0,1,1,0,0,1,1,0,0
49,Whole Wheat Pancakes (V3),breakfast,296,8.7,45.3,8.7,2.6,725,13.1,40,0,0,0,0,0,1,1,0,0
50,Fruit Bowl with Granola (V3),breakfast,281,6.6,51.6,5.6,4.7,203,14.5,20,0,1,1,0,0,1,1,0,0
51,Egg White Omelette (V3),breakfast,169,18.8,7.5,5.6,1.9,637,16.6,10,1,0,0,1,0,1,1,0,1
52,Cottage Cheese with Fruit (V3),breakfast,170,11.9,18.7,4.3,1.7,135,16.4,10,1,0,1,1,0,1,1,1,0
53,Avocado Toast (V3),breakfast,268,6.9,26.0,15.6,5.2,570,2.5,15,1,0,0,1,0,0,1,1,0
54,Rice Porridge (V3),breakfast,215,4.3,38.7,3.4,0.9,764,4.8,40,1,0,0,0,0,1,1,1,0
55,Poached Eggs Benedict (V3),breakfast,326,13.7,27.5,15.5,0.9,791,2.7,45,0,0,0,1,0,0,1,0,1
56,Muesli with Almond Milk (V3),breakfast,291,9.1,48.3,8.1,5.0,152,6.9,25,0,1,1,0,0,1,1,0,1
57,Spinach Egg Wrap (V3),breakfast,233,13.8,20.8,8.7,2.6,449,11.7,45,1,1,0,1,0,1,1,1,1
58,Chia Seed Pudding (V3),breakfast,273,9.1,34.2,11.4,9.1,205,7.8,10,1,1,1,0,0,0,1,0,0
59,Soft Boiled Eggs with Soldiers (V3),breakfast,279,15.0,23.6,12.9,2.1,445,2.5,30,1,1,0,1,0,0,1,1,0
60,Oatmeal with Berries (V4),breakfast,295,8.5,50.7,6.3,4.2,740,5.1,10,0,0,0,0,0,1,1,0,1
61,Greek Yogurt Parfait (V4),breakfast,219,13.2,26.3,7.0,1.8,700,13.9,30,1,0,0,1,0,1,1,0,0
62,Scrambled Eggs with Toast (V4),breakfast,335,18.8,29.3,14.7,2.1,680,13.0,45,0,0,0,1,0,0,1,1,0
63,Banana Smoothie (V4),breakfast,197,5.4,37.7,3.6,2.7,185,2.3,40,1,1,1,0,0,1,1,1,1
64,Whole Wheat Pancakes (V4),breakfast,320,9.4,49.1,9.4,2.8,552,10.5,15,0,0,0,0,0,1,1,0,0
65,Fruit Bowl with Granola (V4),breakfast,286,6.7,52.5,5.7,4.8,353,9.8,45,0,1,1,0,0,1,1,1,0
66,Egg White Omelette (V4),breakfast,200,22.3,8.9,6.7,2.2,279,8.7,15,1,1,1,1,1,1,1,0,0
67,Cottage Cheese with Fruit (V4),breakfast,202,14.2,22.3,5.1,2.0,615,13.1,60,1,0,0,1,0,1,1,0,1
68,Avocado Toast (V4),breakfast,317,8.2,30.8,18.5,6.2,574,16.4,25,1,0,0,0,0,0,1,0,0
69,Rice Porridge (V4),breakfast,246,4.9,44.4,3.9,1.0,790,16.8,25,0,0,0,0,0,1,1,0,0
70,Poached Eggs Benedict (V4),breakfast,426,17.9,35.9,20.2,1.1,655,6.9,25,0,0,0,0,0,0,1,1,1
71,Muesli with Almond Milk (V4),breakfast,254,7.9,42.2,7.0,4.4,134,8.1,15,0,1,1,0,0,1,1,0,0
72,Spinach Egg Wrap (V4),breakfast,231,13.7,20.6,8.6,2.6,517,6.7,45,1,0,0,1,0,1,1,1,0
73,Chia Seed Pudding (V4),breakfast,249,8.3,31.2,10.4,8.3,512,2.7,10,1,0,0,0,0,0,1,0,0
74,Soft Boiled Eggs with Soldiers (V4),breakfast,234,12.6,19.9,10.8,1.8,556,12.2,20,1,0,0,1,0,0,1,0,0
75,Oatmeal with Berries (V5),breakfast,269,7.7,46.2,5.8,3.8,195,8.1,40,0,1,1,0,0,1,1,0,1
76,Greek Yogurt Parfait (V5),breakfast,263,15.8,31.6,8.4,2.1,378,15.6,10,1,0,1,0,0,1,1,0,0
77,Scrambled Eggs with Toast (V5),breakfast,319,18.0,28.0,14.0,2.0,441,7.4,20,0,1,0,1,0,0,1,0,1
78,Banana Smoothie (V5),breakfast,246,6.7,47.1,4.5,3.4,175,8.4,25,0,1,1,0,0,1,1,0,0
79,Whole Wheat Pancakes (V5),breakfast,347,10.2,53.1,10.2,3.1,466,3.5,30,0,1,0,0,0,0,1,1,0
80,Fruit Bowl with Granola (V5),breakfast,315,7.4,57.8,6.3,5.3,583,19.0,60,0,0,0,0,0,1,1,0,1
81,Egg White Omelette (V5),breakfast,179,20.0,8.0,6.0,2.0,497,11.9,30,1,1,0,1,0,1,1,0,0
82,Cottage Cheese with Fruit (V5),breakfast,212,14.9,23.4,5.3,2.1,687,14.4,15,1,0,0,1,0,1,1,0,1
83,Avocado Toast (V5),breakfast,271,7.0,26.3,15.8,5.3,752,6.0,10,1,0,0,1,0,0,1,0,0
84,Rice Porridge (V5),breakfast,218,4.4,39.3,3.5,0.9,264,6.2,60,1,1,1,0,0,1,1,0,0
85,Poached Eggs Benedict (V5),breakfast,415,17.5,35.0,19.7,1.1,610,18.3,30,0,0,0,0,0,0,1,0,0
86,Muesli with Almond Milk (V5),breakfast,253,7.9,42.0,7.0,4.4,544,8.8,45,0,0,0,0,0,1,1,0,0
87,Spinach Egg Wrap (V5),breakfast,238,14.1,21.2,8.8,2.7,550,6.6,15,1,0,0,1,0,1,1,0,1
88,Chia Seed Pudding (V5),breakfast,212,7.1,26.6,8.9,7.1,460,15.4,20,1,1,0,1,0,1,1,0,0
89,Soft Boiled Eggs with Soldiers (V5),breakfast,250,13.5,21.2,11.5,1.9,468,3.5,10,1,1,0,1,0,0,1,1,0
90,Oatmeal with Berries (V6),breakfast,239,6.8,41.0,5.1,3.4,771,12.0,45,0,0,0,0,0,1,1,0,0
91,Greek Yogurt Parfait (V6),breakfast,286,17.2,34.4,9.2,2.3,328,6.6,20,1,0,1,0,0,1,1,0,0
92,Scrambled Eggs with Toast (V6),breakfast,332,18.7,29.1,14.5,2.1,625,7.3,10,0,0,0,1,0,0,1,0,0
93,Banana Smoothie (V6),breakfast,246,6.7,47.1,4.5,3.4,111,19.3,60,0,1,1,0,0,1,1,0,0
94,Whole Wheat Pancakes (V6),breakfast,352,10.4,53.9,10.4,3.1,107,5.1,25,0,1,1,0,0,0,1,0,0
95,Fruit Bowl with Granola (V6),breakfast,307,7.2,56.4,6.2,5.1,140,6.7,20,0,1,1,0,0,1,1,0,0
96,Egg White Omelette (V6),breakfast,169,18.9,7.5,5.7,1.9,560,14.3,30,1,0,0,1,0,1,1,1,1
97,Cottage Cheese with Fruit (V6),breakfast,226,15.9,24.9,5.7,2.3,355,12.5,10,1,0,1,1,0,1,1,0,0
98,Avocado Toast (V6),breakfast,344,8.9,33.3,20.0,6.7,104,2.5,10,1,0,1,0,0,0,1,0,0
99,Rice Porridge (V6),breakfast,286,5.7,51.6,4.6,1.1,381,8.9,40,0,1,1,0,0,1,1,0,0
100,Poached Eggs Benedict (V6),breakfast,330,13.9,27.8,15.6,0.9,204,9.5,10,0,0,1,1,0,0,1,1,1
101,Muesli with Almond Milk (V6),breakfast,306,9.5,50.8,8.5,5.3,744,19.9,30,0,0,0,0,0,1,1,0,0
102,Spinach Egg Wrap (V6),breakfast,290,17.2,25.9,10.8,3.2,182,6.5,40,1,1,1,1,0,0,1,1,0
103,Chia Seed Pudding (V6),breakfast,223,7.5,28.0,9.3,7.5,545,17.8,60,1,0,0,1,0,1,1,0,0
104,Soft Boiled Eggs with Soldiers (V6),breakfast,229,12.4,19.4,10.6,1.8,253,11.0,40,1,1,1,1,0,0,1,0,0
105,Oatmeal with Berries (V7),breakfast,309,8.8,53.1,6.6,4.4,153,19.4,40,0,1,1,0,0,1,1,0,0
106,Greek Yogurt Parfait (V7),breakfast,222,13.4,26.7,7.1,1.8,402,9.6,30,1,0,0,1,0,1,1,0,0
107,Scrambled Eggs with Toast (V7),breakfast,292,16.5,25.6,12.8,1.8,521,13.1,15,0,0,0,1,0,0,1,0,0
108,Banana Smoothie (V7),breakfast,212,5.8,40.6,3.9,2.9,534,18.3,25,0,0,0,0,0,1,1,0,0
109,Whole Wheat Pancakes (V7),breakfast,381,11.2,58.4,11.2,3.4,641,13.2,20,0,0,0,0,0,0,1,0,0
110,Fruit Bowl with Granola (V7),breakfast,296,6.9,54.3,5.9,4.9,500,10.9,25,0,0,0,0,0,1,1,1,1
111,Egg White Omelette (V7),breakfast,186,20.7,8.3,6.2,2.1,549,7.9,20,1,0,0,1,1,1,1,0,0
112,Cottage Cheese with Fruit (V7),breakfast,202,14.2,22.2,5.1,2.0,762,4.3,45,1,0,0,1,0,1,1,0,0
113,Avocado Toast (V7),breakfast,280,7.2,27.1,16.3,5.4,795,9.4,60,1,0,0,1,0,0,1,0,0
114,Rice Porridge (V7),breakfast,225,4.5,40.6,3.6,0.9,733,6.0,30,0,0,0,0,0,1,1,1,0
115,Poached Eggs Benedict (V7),breakfast,343,14.4,28.9,16.3,0.9,504,11.9,30,0,0,0,1,0,0,1,0,1
116,Muesli with Almond Milk (V7),breakfast,278,8.6,46.0,7.7,4.8,177,7.9,20,0,1,1,0,0,1,1,1,0
117,Spinach Egg Wrap (V7),breakfast,280,16.6,24.9,10.4,3.1,338,11.2,20,1,1,1,1,0,0,1,0,1
118,Chia Seed Pudding (V7),breakfast,223,7.5,28.0,9.3,7.5,356,3.5,20,1,1,1,1,0,1,1,1,1
119,Soft Boiled Eggs with Soldiers (V7),breakfast,249,13.5,21.1,11.5,1.9,625,13.1,45,1,0,0,1,0,0,1,0,0
120,Oatmeal with Berries (V8),breakfast,243,6.9,41.7,5.2,3.5,798,6.5,45,0,0,0,0,0,1,1,0,0
121,Greek Yogurt Parfait (V8),breakfast,268,16.1,32.2,8.6,2.1,607,3.9,15,1,0,0,0,0,1,1,0,0
122,Scrambled Eggs with Toast (V8),breakfast,282,15.9,24.7,12.3,1.8,730,8.8,15,0,0,0,1,0,0,1,0,0
123,Banana Smoothie (V8),breakfast,192,5.3,36.8,3.5,2.6,225,4.2,10,1,1,1,0,0,1,1,0,0
124,Whole Wheat Pancakes (V8),breakfast,325,9.6,49.7,9.6,2.9,332,11.0,45,0,1,1,0,0,1,1,0,0
125,Fruit Bowl with Granola (V8),breakfast,305,7.1,56.0,6.1,5.1,468,12.2,15,0,1,0,0,0,1,1,1,0
126,Egg White Omelette (V8),breakfast,187,20.9,8.4,6.3,2.1,542,8.4,30,1,0,0,1,1,1,1,0,0
127,Cottage Cheese with Fruit (V8),breakfast,170,11.9,18.7,4.3,1.7,376,4.8,45,1,0,1,1,0,1,1,0,0
128,Avocado Toast (V8),breakfast,271,7.0,26.3,15.8,5.3,449,5.1,45,1,0,0,1,0,0,1,0,1
129,Rice Porridge (V8),breakfast,213,4.3,38.5,3.4,0.9,328,19.7,45,1,1,1,0,0,1,1,0,0
130,Poached Eggs Benedict (V8),breakfast,427,18.0,36.0,20.3,1.1,745,19.6,40,0,0,0,0,0,0,1,1,0
131,Muesli with Almond Milk (V8),breakfast,327,10.2,54.2,9.0,5.6,491,10.6,30,0,1,0,0,0,1,1,0,1
132,Spinach Egg Wrap (V8),breakfast,255,15.2,22.7,9.5,2.8,324,15.3,25,1,1,1,1,0,1,1,1,0
133,Chia Seed Pudding (V8),breakfast,224,7.5,28.1,9.4,7.5,238,18.8,30,1,1,1,1,0,1,1,0,1
134,Soft Boiled Eggs with Soldiers (V8),breakfast,247,13.3,20.9,11.4,1.9,109,11.9,15,1,1,1,1,0,0,1,0,0
135,Oatmeal with Berries (V9),breakfast,306,8.7,52.5,6.6,4.4,420,4.5,10,0,1,0,0,0,1,1,0,0
136,Greek Yogurt Parfait (V9),breakfast,247,14.9,29.7,7.9,2.0,518,8.3,10,1,0,0,1,0,1,1,0,0
137,Scrambled Eggs with Toast (V9),breakfast,311,17.5,27.2,13.6,1.9,475,19.8,15,0,1,0,1,0,0,1,1,1
138,Banana Smoothie (V9),breakfast,235,6.4,45.0,4.3,3.2,671,17.2,60,0,0,0,0,0,1,1,0,0
139,Whole Wheat Pancakes (V9),breakfast,370,10.9,56.7,10.9,3.3,390,5.0,30,0,1,1,0,0,0,1,1,0
140,Fruit Bowl with Granola (V9),breakfast,336,7.9,61.7,6.7,5.6,700,17.8,10,0,0,0,0,0,1,1,0,0
141,Egg White Omelette (V9),breakfast,191,21.3,8.5,6.4,2.1,790,13.2,10,1,0,0,1,1,1,1,0,0
142,Cottage Cheese with Fruit (V9),breakfast,183,12.9,20.2,4.6,1.8,324,9.0,15,1,0,1,1,0,1,1,0,0
143,Avocado Toast (V9),breakfast,321,8.3,31.1,18.7,6.2,297,18.9,45,1,0,1,0,0,0,1,0,0
144,Rice Porridge (V9),breakfast,225,4.5,40.5,3.6,0.9,722,13.2,25,0,0,0,0,0,1,1,0,0
145,Poached Eggs Benedict (V9),breakfast,436,18.4,36.8,20.7,1.1,540,7.6,30,0,0,0,0,0,0,1,0,1
146,Muesli with Almond Milk (V9),breakfast,264,8.2,43.7,7.3,4.6,621,10.9,15,0,0,0,0,0,1,1,0,0
147,Spinach Egg Wrap (V9),breakfast,238,14.1,21.2,8.8,2.6,327,10.2,25,1,1,1,1,0,1,1,0,0
148,Chia Seed Pudding (V9),breakfast,214,7.2,26.8,8.9,7.2,146,9.4,30,1,1,1,1,0,1,1,0,0
149,Soft Boiled Eggs with Soldiers (V9),breakfast,275,14.8,23.3,12.7,2.1,391,14.9,20,1,1,1,1,0,0,1,0,1
150,Oatmeal with Berries (V10),breakfast,314,9.0,53.9,6.7,4.5,649,6.1,45,0,0,0,0,0,1,1,0,0
151,Greek Yogurt Parfait (V10),breakfast,224,13.4,26.9,7.2,1.8,240,4.5,15,1,0,1,1,0,1,1,0,1
152,Scrambled Eggs with Toast (V10),breakfast,355,20.0,31.1,15.6,2.2,559,3.8,60,0,0,0,0,0,0,1,0,0
153,Banana Smoothie (V10),breakfast,233,6.4,44.6,4.2,3.2,205,15.9,45,0,1,1,0,0,1,1,0,0
154,Whole Wheat Pancakes (V10),breakfast,364,10.7,55.7,10.7,3.2,395,17.1,20,0,1,1,0,0,0,1,0,1
155,Fruit Bowl with Granola (V10),breakfast,343,8.0,63.0,6.9,5.7,721,5.4,45,0,0,0,0,0,1,1,0,0
156,Egg White Omelette (V10),breakfast,181,20.1,8.0,6.0,2.0,760,8.8,30,1,0,0,1,1,1,1,0,0
157,Cottage Cheese with Fruit (V10),breakfast,170,11.9,18.7,4.3,1.7,674,9.5,15,1,0,0,1,0,1,1,0,0
158,Avocado Toast (V10),breakfast,295,7.6,28.6,17.2,5.7,517,18.5,60,1,0,0,1,0,0,1,1,0
159,Rice Porridge (V10),breakfast,223,4.5,40.2,3.6,0.9,763,12.4,25,0,0,0,0,0,1,1,0,0
160,Poached Eggs Benedict (V10),breakfast,364,15.3,30.7,17.3,1.0,162,7.0,15,0,0,1,0,0,0,1,1,0
161,Muesli with Almond Milk (V10),breakfast,261,8.1,43.4,7.2,4.5,183,10.3,25,0,1,1,0,0,1,1,0,1
162,Spinach Egg Wrap (V10),breakfast,310,18.4,27.6,11.5,3.4,660,7.4,60,1,0,0,1,0,0,1,1,0
163,Chia Seed Pudding (V10),breakfast,219,7.3,27.4,9.1,7.3,417,5.7,30,1,1,0,1,0,1,1,0,0
164,Soft Boiled Eggs with Soldiers (V10),breakfast,286,15.4,24.2,13.2,2.2,118,3.2,40,1,1,1,1,0,0,1,0,0
165,Oatmeal with Berries (V11),breakfast,282,8.1,48.5,6.1,4.0,212,9.2,40,0,1,1,0,0,1,1,0,1
166,Greek Yogurt Parfait (V11),breakfast,237,14.3,28.5,7.6,1.9,154,19.0,60,1,0,1,1,0,1,1,1,0
167,Scrambled Eggs with Toast (V11),breakfast,322,18.1,28.2,14.1,2.0,186,19.6,60,0,1,1,1,0,0,1,0,0
168,Banana Smoothie (V11),breakfast,188,5.1,36.0,3.4,2.6,542,11.1,60,1,0,0,0,0,1,1,1,0
169,Whole Wheat Pancakes (V11),breakfast,307,9.0,47.0,9.0,2.7,708,12.0,60,0,0,0,0,0,1,1,1,1
170,Fruit Bowl with Granola (V11),breakfast,320,7.5,58.7,6.4,5.3,219,16.5,60,0,1,1,0,0,1,1,0,0
171,Egg White Omelette (V11),breakfast,164,18.2,7.3,5.5,1.8,106,13.4,10,1,1,1,1,0,1,1,1,1
172,Cottage Cheese with Fruit (V11),breakfast,180,12.7,19.9,4.5,1.8,647,13.6,15,1,0,0,1,0,1,1,0,0
173,Avocado Toast (V11),breakfast,295,7.6,28.6,17.1,5.7,485,8.5,45,1,0,0,1,0,0,1,1,0
174,Rice Porridge (V11),breakfast,243,4.9,43.8,3.9,1.0,325,17.5,20,0,1,1,0,0,1,1,0,0
175,Poached Eggs Benedict (V11),breakfast,338,14.3,28.5,16.1,0.9,257,10.8,40,0,0,1,1,0,0,1,0,1
176,Muesli with Almond Milk (V11),breakfast,288,9.0,47.8,8.0,5.0,308,6.8,60,0,1,1,0,0,1,1,0,0
177,Spinach Egg Wrap (V11),breakfast,247,14.6,22.0,9.2,2.7,377,17.0,25,1,1,1,1,0,1,1,1,0
178,Chia Seed Pudding (V11),breakfast,253,8.5,31.7,10.6,8.5,174,16.8,60,1,1,1,0,0,0,1,1,0
179,Soft Boiled Eggs with Soldiers (V11),breakfast,242,13.1,20.5,11.2,1.9,116,9.3,40,1,1,1,1,0,0,1,0,1
180,Oatmeal with Berries (V12),breakfast,238,6.8,41.0,5.1,3.4,126,18.2,40,0,1,1,0,0,1,1,0,0
181,Greek Yogurt Parfait (V12),breakfast,259,15.6,31.2,8.3,2.1,554,12.3,10,1,0,0,0,0,1,1,0,0
182,Scrambled Eggs with Toast (V12),breakfast,321,18.1,28.2,14.1,2.0,675,8.4,40,0,0,0,1,0,0,1,0,1
183,Banana Smoothie (V12),breakfast,226,6.2,43.3,4.1,3.1,128,9.0,60,0,1,1,0,0,1,1,0,0
184,Whole Wheat Pancakes (V12),breakfast,362,10.7,55.5,10.7,3.2,326,19.1,45,0,1,1,0,0,0,1,0,0
185,Fruit Bowl with Granola (V12),breakfast,320,7.5,58.8,6.4,5.3,388,6.9,45,0,1,1,0,0,1,1,1,0
186,Egg White Omelette (V12),breakfast,155,17.3,6.9,5.2,1.7,606,12.7,15,1,0,0,1,0,1,1,0,0
187,Cottage Cheese with Fruit (V12),breakfast,190,13.3,21.0,4.8,1.9,395,15.1,10,1,0,1,1,0,1,1,0,0
188,Avocado Toast (V12),breakfast,306,7.9,29.6,17.8,5.9,230,3.4,25,1,0,1,1,0,0,1,0,0
189,Rice Porridge (V12),breakfast,256,5.1,46.2,4.1,1.0,374,7.7,20,0,1,1,0,0,1,1,0,1
190,Poached Eggs Benedict (V12),breakfast,431,18.2,36.3,20.4,1.1,596,5.3,40,0,0,0,0,0,0,1,0,0
191,Muesli with Almond Milk (V12),breakfast,302,9.4,50.0,8.3,5.2,180,13.9,40,0,1,1,0,0,1,1,0,0
192,Spinach Egg Wrap (V12),breakfast,302,17.9,26.9,11.2,3.4,367,6.0,15,1,1,1,1,0,0,1,1,0
193,Chia Seed Pudding (V12),breakfast,207,6.9,25.9,8.6,6.9,115,18.7,45,1,1,1,1,0,1,1,0,0
194,Soft Boiled Eggs with Soldiers (V12),breakfast,245,13.2,20.8,11.3,1.9,434,14.6,10,1,1,0,1,0,0,1,1,1
195,Oatmeal with Berries (V13),breakfast,273,7.8,46.9,5.9,3.9,576,10.5,40,0,0,0,0,0,1,1,1,0
196,Greek Yogurt Parfait (V13),breakfast,251,15.1,30.2,8.1,2.0,714,2.7,45,1,0,0,0,0,1,1,0,0
197,Scrambled Eggs with Toast (V13),breakfast,318,17.9,27.8,13.9,2.0,230,14.5,60,0,1,1,1,0,0,1,0,0
198,Banana Smoothie (V13),breakfast,224,6.1,42.9,4.1,3.1,596,11.7,40,0,0,0,0,0,1,1,0,0
199,Whole Wheat Pancakes (V13),breakfast,379,11.2,58.0,11.2,3.3,525,17.8,15,0,0,0,0,0,0,1,1,0
200,Fruit Bowl with Granola (V13),breakfast,256,6.0,47.1,5.1,4.3,240,8.9,60,0,1,1,0,0,1,1,0,0
201,Egg White Omelette (V13),breakfast,171,19.1,7.6,5.7,1.9,576,2.7,25,1,0,0,1,0,1,1,0,0
202,Cottage Cheese with Fruit (V13),breakfast,229,16.0,25.2,5.7,2.3,365,3.7,45,1,0,1,1,0,1,1,0,0
203,Avocado Toast (V13),breakfast,285,7.4,27.6,16.6,5.5,102,10.4,60,1,0,1,1,0,0,1,1,0
204,Rice Porridge (V13),breakfast,230,4.6,41.4,3.7,0.9,764,7.0,30,0,0,0,0,0,1,1,0,0
205,Poached Eggs Benedict (V13),breakfast,366,15.4,30.9,17.4,1.0,443,4.2,20,0,0,0,0,0,0,1,0,0
206,Muesli with Almond Milk (V13),breakfast,254,7.9,42.1,7.0,4.4,539,17.9,60,0,0,0,0,0,1,1,0,0
207,Spinach Egg Wrap (V13),breakfast,243,14.4,21.6,9.0,2.7,663,3.2,60,1,0,0,1,0,1,1,0,0
208,Chia Seed Pudding (V13),breakfast,247,8.3,31.0,10.3,8.3,592,4.2,20,1,0,0,0,0,0,1,1,1
